k,best_val_mae,best_val_rmse,best_val_mape,test_mae,test_rmse,test_mape,time_sec,device,gpu_name,model_name,d_model,num_layers,batch_size,learning_rate,epochs_completed,seed,timestamp
8,2.7489929020824566,4.433082628767815,0.2054284333072148,3.2466238739200164,5.141155633839846,0.2808355713782252,361.96,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,18,42,2026-05-02 18:15:43
16,3.26242715379162,5.215255322310846,0.2256459248177882,3.7670236356573863,5.882122958990673,0.2851238062112337,285.69,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,14,42,2026-05-02 18:20:47
32,3.627814784995827,5.893254925527483,0.2274516507930739,4.369572130103859,6.935236013256694,0.30991557533187525,261.14,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,13,42,2026-05-02 18:25:28
64,4.210689260366377,6.809699376144319,0.6481700963275113,5.186183103144309,8.1574060715892,0.8950713198082368,256.28,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,13,42,2026-05-02 18:30:03
96,4.541288248390099,7.4185557863522025,0.59163984816364,5.624531311089875,8.953863934903849,0.8921620717198006,269.48,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,14,42,2026-05-02 18:34:53
128,4.914170287724392,7.897386081341846,0.8475780033816894,6.093233014227914,9.608345046115982,1.2588912367524112,217.72,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,13,42,2026-05-02 18:38:51
1,2.1039283583421664,3.3990688683561316,0.16969122830341118,2.5609780615959012,4.101116846784496,0.24621326055004755,515.47,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,26,42,2026-05-02 18:57:12
2,2.145328074343887,3.5510061330078915,0.15672419393793657,2.6201396051279553,4.272529362934256,0.22422649612131176,493.18,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,25,42,2026-05-02 19:05:44
3,2.2314043881747643,3.6341782331186843,0.12065567287393439,2.7754532388418007,4.4218778633261735,0.16632196288534049,416.96,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,21,42,2026-05-02 19:13:02
4,2.3575361203139935,3.854746034307659,0.7092493818395119,2.8644924404609955,4.617223452384075,0.9431854275129387,392.75,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,20,42,2026-05-02 19:19:54
5,2.5039936320182865,4.01195558744697,0.3972569745331303,2.9923143750820005,4.7308659052751105,0.5551270011799362,315.84,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,16,42,2026-05-02 19:25:30
6,2.608780776530924,4.199646888344501,0.21721178928976048,3.0788909366105703,4.887817127747893,0.288315456740087,411.34,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,21,42,2026-05-02 19:32:41
7,2.750974403650548,4.423509363557251,0.1649717242793648,3.192648172064464,5.035646494364571,0.21798376910894482,236.39,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,12,42,2026-05-02 19:36:57
8,2.7723840850059975,4.539985708647491,0.19361955690866625,3.255608932719298,5.184628697797063,0.27138139329309763,359.99,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,18,42,2026-05-02 19:43:17
1,2.1013587801039497,3.436062710473375,0.16434279439682273,2.5174422007429236,4.072117645162609,0.23965204185838931,264.58,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,1,16,0.001,20,42,2026-05-02 20:03:25
1,2.0878423066905967,3.3995413161779235,0.16552690127449102,2.523284653904008,4.0585244820394335,0.2362735121793373,404.84,cuda,NVIDIA A100-PCIE-40GB,SpectralMambaReal,64,2,16,0.001,21,42,2026-05-02 20:10:30
